Name of the article,Source,Publication date,S1,S2,S3,S4,S5,S6,S7,S8,S9,"sentences with the keyword ""mask""?J?","sentences with the keyword ""mask""?K?",?1,?2,?3,?4,?5
Dortmund explode into action as Bundesliga restarts with no fans,Bloomberg News,5/16/2020,"With a strict health protocol governing the fragile restart, which includes no fans, face masks for everyone but the players, no handshakes and no group celebrations","Goal celebrations around the Bundesliga on Saturday were limited to smiles, thumbs-up and the occasional fist or elbow bump as mask-wearing substitutes",,,,,,,,,,,,,,
Italy’s Conte Says Taking Calculated Risk in Easing Lockdown,Bloomberg News,5/16/2020,"Social distancing and other health and safety rules will accompany the easing, with customers having to wear protectives masks in shops, restaurants ensuring a distance of at least one meter between clients, and group sports banned on beaches. ","We recommend that people always have a protective mask with them, which will have to be worn in certain areas including indoors",,,,,,,,,,,,,,
"Trump's Theory, Frayed Ties and a Wasted Lockdown: Weekend Reads",Bloomberg News,5/16/2020,"Brazil's president, front center, wears a protective mask alongside ministers during the National Flag Raising ceremony at Alvorada Palace in Brasilia on May 12. ",,,,,,,,,,,,,,,
Face Mask Supplies Run Out Across Asia Because of Virus Panic,Bloomberg News,1/24/2020,Face masks and hand sanitizers are becoming must-have accessories from Hong Kong to Japan as a deadly virus spreads across Asia.,"Pharmacies across Hong Kong sold out of masks aimed at preventing viral infection, prompting authorities to say more will arrive next week.",Taiwan banned the export of masks for the next month to ensure sufficient domestic supply. ,"At Cheung Tai Dispensary in Hong Kong’s financial district, supplies of masks and sanitizer ran out two days ago, and medical gloves are selling fas",A few batches of new face masks will arrive next week.,,,,,,,,,,,
China’s Virus Outbreak Triggers a Global Run on Face Masks,Bloomberg News,1/29/2020,"Many shops on Amazon, Alibaba are running out of masks ",Doctor says hand hygiene may be more important than masks(negative) ,People across the globe are stockpiling facial masks to protect themselves from the new coronavirus,"Commuters wearing protective masks walk through Hong Kong Station, Jan. 29.","she scooped up 2,000 masks to send back to people in China without asking for additional money. ","Good hand hygiene, including the regular use of an alcohol-based sanitizer, may be more effective than face masks at preventing transmission of the 2019-nCoV virus, said Peter Collignon, an infectious diseases physician and microbiologist at Australia’s Canberra Hospital.(nagative)",The e-commerce site said it sold 80 million face masks through Taobao within two days.,,,,,,,,,
Drones Take to China’s Skies to Fight Coronavirus Outbreak,Bloomberg News,2/4/2020,"In coronavirus-hit China, not wearing a face mask is a big no-no. ",Footage posted by Global Times shows people in rural China publicly shamed by a drone for not wearing a face mask or for venturing outside unnecessarily. ,,,,,,,,,,,,,,
Shortage Rumors Spark Toilet Paper Panic Buying in Hong Kong,Bloomberg News,2/6/2020,Hong Kong has been struggling with a shortage of face masks to protect against the coronavirus outbreak.,,,,,,,,,,,,,,,
"While Hong Kong Waits in Line, Singapore Distributes 5 Million Masks",Bloomberg News,2/6/2020,Thousands line up to buy masks in Hong Kong amid shortages ,"With no sign the coronavirus outbreak will be under control any time soon, surgical masks -- the three-ply, pleated rectangles that typically sell for a few cents each -- have become a political flash point across Asia.
","In Singapore, where an election is expected soon, the government touted its move to deploy some 1,500 servicemen to help distribute 5 million masks","“What I wanted to say is that government should put the mask supply to medical workers as a priority,” said Lam.",Therefore we need to evaluate the need of mask use by officials in public events(dubious),"You need a supply of things like face masks, goggles, even alcohol -- they should stockpile these things.","According to the World Health Organization, surgical masks are limited in their ability to helping healthy people stay that way.(negative)","It recommends masks for people who already have respiratory illness, their caregivers, and health care workers.",,,,,,,,
"How to Avoid Coronavirus on Flights: Forget Masks, Says Top Airline Doctor",Bloomberg News,2/6/2020,"Forget face masks and rubber gloves. The best way to avoid the coronavirus is frequent hand washing, according to a medical adviser to the world’s airlines.(negative)","Masks and gloves do a better job of spreading bugs than stopping them, he said.(negative)",Airline passengers wear protective masks as they sit in the arrivals hall at the Hong Kong International Airport on Jan. 30.,"first of all, masks. There’s very limited evidence of benefit, if any, in a casual situation. Masks are useful for those who are unwell to protect other people from them. But wearing a mask all the time will be ineffective.(negative)",,,,,,,,,,,,
Expat Chinese Workers Scouring Foreign Pharmacies for Masks,Bloomberg News,2/7/2020,One employee was able to secure the last lot of masks at a Home Depot in Texas and shipped it back to China by express mail.,The goal is to get 2 million masks shipped back to headquarters.,"The brisk demand for masks is spurring counterfeiters to flood the market with bogus respiratory devices, according to the U.S. Centers for Disease Control.",Home Depot has experienced a nationwide increase in demand for masks,"To avoid a run on the products through bulk purchases, the retail giant has limited the number of masks that each customer can buy to 10",,,,,,,,,,,
